# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-19T13:54:21.820748
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7939500 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 30  0x0040000000    1.0GiB    70.345    45.244  0x0080a39000       ok  verified   assumed        4113           0         287        3603        1030    21.818  0x0080b40000       ok  verified   assumed        1322           0         128        2636         254     0.000  0x0080b40000       ok   assumed           0           0           1           0           0
 30  0x0060000000    1.5GiB   105.735    66.953  0x00c0efd000       ok  verified   assumed        6213           0         378        5787         985    38.469  0x00c1088000       ok  verified   assumed        1859           0         199        3576        2026     0.000  0x00c1088000       ok   assumed           0           0           0           0           0
 31  0x0080000000    2.0GiB   141.203    89.459  0x01013cf000       ok  verified   assumed        8319           0         501        7489        1549    43.468  0x01015da000       ok  verified   assumed        2579           0         255        4823         995     0.000  0x01015da000       ok   assumed           0           0           0           0           0
 31  0x00c0000000    3.0GiB   211.776   133.531  0x0181de9000       ok  verified   assumed       12563           0         702       11246        2142    65.568  0x01820f9000       ok  verified   assumed        3939           0         381        7504        1209     0.000  0x01820f9000       ok   assumed           0           0           0           0           0
 32  0x0100000000    4.0GiB   282.478   178.682  0x0202875000       ok  verified   assumed       16694           0         972       14888        3102    86.136  0x020369c000       ok  verified   assumed        5190           0         504        9478        1948     0.000  0x020369c000       ok   assumed           0           0           0           1           0
 32  0x0180000000    6.0GiB   424.125   268.315  0x0304ac4000       ok  verified   assumed       25072           0        1388       22600        4479   126.411  0x03050da000       ok  verified   assumed        7848           0         753       13902        2662     0.000  0x03050da000       ok   assumed           1           0           0           0           0
 33  0x0200000000    8.0GiB   565.495   507.422  0x0405df4000       ok  verified   assumed       34136           0        2316       48167       16556   168.298  0x0407123000       ok  verified   assumed       10640           0         967       19146        2754     0.000  0x0407123000       ok   assumed           0           0           0           1           0
 33  0x0300000000   12.0GiB   849.872   781.517  0x060957a000       ok  verified   assumed       51367           0        3434       72947       28065   254.267  0x060b9d2000       ok  verified   assumed       15968           0        1489       28744        4364     0.000  0x060b9d2000       ok   assumed           0           0           0           0           0
 34  0x0400000000   16.0GiB  1134.992  1067.484  0x080e11b000       ok  verified   assumed       68613           0        4480       98241       41429   350.675  0x080e214000       ok  verified   assumed       21463           0        1983       40070        6209     0.000  0x080e214000       ok   assumed           0           0           1           0           0
 34  0x0600000000   24.0GiB  1706.800  1682.578  0x0c1586f000       ok  verified   assumed      102646           0        6766      151645       74468   551.060  0x0c15550000       ok  verified   assumed       32445           0        3058       62474       11711     0.000  0x0c15550000       ok   assumed           0           0           0           0           0
 35  0x0800000000   32.0GiB  2259.275  2059.153  0x101a21b000       ok  verified   assumed      137070           0        9016      193287       71079   657.736  0x101c274000       ok  verified   assumed       42699           0        3922       73587       10721     0.000  0x101c274000       ok   assumed           0           0           0           0           0
 35  0x0c00000000   48.0GiB  3401.211  3305.787  0x182743b000       ok  verified   assumed      206098           0       13788      303090      136099  1028.613  0x182a4b2000       ok  verified   assumed       65050           0        5292      118165       16228     0.000  0x182a4b2000       ok   assumed           0           0           0           1           0
 36  0x1000000000   64.0GiB  4537.564  4308.008  0x203ab69000       ok  verified   assumed      274015           0       18508      401262      165271  1391.901  0x20387f6000       ok  verified   assumed       85849           0        7058      157482       26700     0.000  0x20387f6000       ok   assumed           0           0           0           0           0
 36  0x1800000000   96.0GiB  6800.500  6631.131  0x304ee1f000       ok  verified   assumed      411407           0       27992      616870      265802  2172.372  0x3054f26000       ok  verified   assumed      130160           0       12211      249597       40465     0.000  0x3054f26000       ok   assumed           0           0           0           0           0
# CallFailedError(cmd='bup save -n 'test_run' large_file', exitcode='1')
 37  0x2000000000  128.0GiB  9013.333  4538.806        (None)   failed       bad  verified      290725           0       19605      426221      168366    (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)    (None)        (None)  no_exec    no_ver      (None)      (None)      (None)      (None)      (None)
