# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f9/b1/0e99c62e2bd8fb8345712f15a61aaf981ec1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:04:01.679652
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7611744 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          2          2            94             1      0.000        ok       0.000  0x0005cd3800  0x0000225000  0x00058ae800  0x000008a000      0.003
0x0000001000          2          2            95             1      0.000        ok       0.000  0x0005cd3800  0x0000226c00  0x00058acc00  0x000008b800      0.003
0x0000001000          2          2            96             1      0.000        ok       0.000  0x0005cd3800  0x0000228800  0x00058ab000  0x000008d000      0.003
0x0000001000          2          2            97             1      0.000        ok       0.000  0x0005cd3800  0x000022a400  0x00058a9400  0x000008e800      0.003
0x0000001000          2          2            98             1      0.000        ok       0.000  0x0005cd3800  0x000022c800  0x00058a7000  0x0000090800      0.003
0x0000001000          2          2            99             1      0.000        ok       0.000  0x0005cd3800  0x000022e400  0x00058a5400  0x0000092000      0.003
0x0000001000          2          2           100             1      0.000        ok       0.000  0x0005cd3800  0x0000230000  0x00058a3800  0x0000093800      0.003
0x0000001000          2          2           101             1      0.000        ok       0.000  0x0005cd3800  0x0000231c00  0x00058a1c00  0x0000095000      0.003
0x0000001000          2          2           102             1      0.000        ok       0.000  0x0005cd3800  0x0000233800  0x00058a0000  0x0000096800      0.003
0x0000001000          2          2           103             1      0.000        ok       0.000  0x0005cd3800  0x0000235400  0x000589e400  0x0000098000      0.003
0x0000001000          2          2           104             1      0.000        ok       0.000  0x0005cd3800  0x0000237000  0x000589c800  0x0000099800      0.003
0x0000001000          2          2           105             1      0.000        ok       0.000  0x0005cd3800  0x0000238c00  0x000589ac00  0x000009b000      0.003
0x0000001000          2          2           106             1      0.000        ok       0.000  0x0005cd3800  0x000023a800  0x0005899000  0x000009c800      0.003
0x0000001000          2          2           107             1      0.000        ok       0.000  0x0005cd3800  0x000023c400  0x0005897400  0x000009e000      0.003
0x0000001000          2          2           108             1      0.000        ok       0.000  0x0005cd3800  0x000023dc00  0x0005895c00  0x000009f400      0.003
0x0000001000          2          2           109             1      0.000        ok       0.000  0x0005cd3800  0x000023f800  0x0005894000  0x00000a0c00      0.003
0x0000001000          2          2           110             1      0.000        ok       0.000  0x0005cd3800  0x0000241000  0x0005892800  0x00000a2000      0.003
0x0000001000          2          2           111             1      0.000        ok       0.000  0x0005cd3800  0x0000242800  0x0005891000  0x00000a3400      0.003
0x0000001000          2          2           112             1      0.000        ok       0.000  0x0005cd3800  0x0000244400  0x000588f400  0x00000a4c00      0.003
0x0000001000          2          2           113             1      0.000        ok       0.000  0x0005cd3800  0x0000246000  0x000588d800  0x00000a6400      0.003
0x0000001000          2          2           114             1      0.000        ok       0.000  0x0005cd3800  0x0000247800  0x000588c000  0x00000a7800      0.003
0x0000001000          2          2           115             1      0.000        ok       0.000  0x0005cd3800  0x0000249400  0x000588a400  0x00000a9000      0.003
0x0000001000          2          2           116             1      0.000        ok       0.000  0x0005cd3800  0x000024b000  0x0005888800  0x00000aa800      0.003
0x0000001000          2          2           117             1      0.000        ok       0.000  0x0005cd3800  0x000024c800  0x0005887000  0x00000abc00      0.003
0x0000001000          2          2           118             1      0.000        ok       0.000  0x0005cd3800  0x000024e400  0x0005885400  0x00000ad400      0.003
0x0000001000          2          2           119             1      0.000        ok       0.000  0x0005cd3800  0x0000250000  0x0005883800  0x00000aec00      0.003
0x0000001000          2          2           120             1      0.000        ok       0.000  0x0005cd3800  0x0000251c00  0x0005881c00  0x00000b0400      0.005
0x0000001000          2          2           121             1      0.000        ok       0.000  0x0005cd3800  0x0000253800  0x0005880000  0x00000b1c00      0.004
0x0000001000          2          2           122             1      0.000        ok       0.000  0x0005cd3800  0x0000255400  0x000587e400  0x00000b3400      0.003
0x0000001000          2          2           123             1      0.000        ok       0.000  0x0005cd3800  0x0000256c00  0x000587cc00  0x00000b4800      0.003
0x0000001000          2          2           124             1      0.000        ok       0.000  0x0005cd3800  0x0000258400  0x000587b400  0x00000b5c00      0.003
0x0000001000          2          2           125             1      0.000        ok       0.000  0x0005cd3800  0x000025a000  0x0005879800  0x00000b7400      0.004
0x0000001000          2          2           126             1      0.000        ok       0.000  0x0005cd3800  0x000025bc00  0x0005877c00  0x00000b8c00      0.003
0x0000001000          2          2           127             1      0.000        ok       0.000  0x0005cd3800  0x000025d800  0x0005876000  0x00000ba400      0.003
0x0000001000          2          2           128             1      0.000        ok       0.000  0x0005cd3800  0x000025f000  0x0005874800  0x00000bb800      0.003
0x0000001000          2          2           129             1      0.000        ok       0.000  0x0005cd3800  0x0000260c00  0x0005872c00  0x00000bd000      0.003
0x0000001000          2          2           130             1      0.000        ok       0.000  0x0005cd3800  0x0000262800  0x0005871000  0x00000be800      0.005
0x0000001000          2          2           131             1      0.000        ok       0.001  0x0005cd3800  0x0000264000  0x000586f800  0x00000bfc00      0.004
0x0000001000          2          2           132             1      0.000        ok       0.000  0x0005cd3800  0x0000265800  0x000586e000  0x00000c1000      0.004
0x0000001000          2          2           133             1      0.000        ok       0.000  0x0005cd3800  0x0000267000  0x000586c800  0x00000c2400      0.004
